Row,Address,Postcode,Town/City,Property Type,Category,Block / Notes,Floor Area Sqm (EPC),Zoopla Low,Zoopla Central,Zoopla High,Moov Raw Central,Moov Conservative Central,Target Ratio Min,Target Ratio Max,Moov/Zoopla Central Ratio,% Diff vs Zoopla,Row Status,Base £/sqm,P25 £/sqm,Median £/sqm,Block Penalty,Small Unit Penalty,Confidence Penalty,CV Penalty,Confidence Score,Coefficient of Variation (CV),isExLocalAuthority,exLAScore,Comment
60,"5 Canon Court, Basildon",SS13 1EN,Basildon,Flat,Private Commuter Flat,Private commuter flat,,222000,233000,245000,DESK_REV,,0.9,0.97,0.81,-19%,DESK,3705,3640,3857,2.0%,3.0%,2.0%,,70,0.10,FALSE,2,Prior flag: No comparable sales data found for this postcode
61,"29 Davy Court, Rochester",ME1 1AE,Rochester,Flat,Private Commuter Flat,Private commuter flat,,273000,288000,302000,280276,272518,0.9,0.97,0.95,-5%,PASS,3374,3356,3418,,,1.5%,,75,0.02,FALSE,1,Prior flag: No comparable sales data found for this postcode
62,"67 Mount Road, Rochester",ME1 3NH,Rochester,House,Standard House,Standard suburban house,,276000,291000,305000,DESK_REV,,0.85,0.95,0.95,-5%,DESK,3245,3233,3272,,,0.5%,,85,0.08,FALSE,,Prior flag: No comparable sales data found for this postcode
63,"77 Merrick Close, Stevenage",SG1 6GH,Stevenage,Flat,Private Commuter Flat,Private commuter flat,,214000,226000,237000,245027,232782,0.9,0.97,1.03,3%,CHECK,4046,4000,4153,,1.0%,1.5%,,70,0.12,FALSE,,Prior flag: No comparable sales data found for this postcode
64,"36 Wansbeck Close, Stevenage",SG1 6AA,Stevenage,House,Standard House,Standard suburban house,,312000,329000,345000,DESK_REV,,0.85,0.95,1.05,5%,DESK,4900,4814,5102,,,0.5%,,80,0.10,FALSE,,Prior flag: No comparable sales data found for this postcode
65,"32 Foyle Close, Stevenage",SG1 6BQ,Stevenage,House,Standard House,Standard suburban house,,311000,327000,343000,DESK_REV,,0.85,0.95,1.11,11%,DESK,5302,5293,5324,0%,0%,5.0%,0%,70,0.03,FALSE,0,Prior flag: No valid comparables found within 1 mile radius
66,"19 Angelica Drive, London",E6 6NS,Barking,Flat,Private Commuter Flat,Private commuter flat,,221000,233000,244000,DESK_REV,,0.9,0.97,0.91,-9%,DESK,5947,5876,6111,,6.0%,3.0%,,60,0.14,FALSE,,Prior flag: No comparable sales data found for this postcode
67,"51 Mountfield Road, London",E6 6BH,Barking,Flat,Private Commuter Flat,Private commuter flat,,293000,309000,324000,329448,295158,0.9,0.97,0.96,-4%,PASS,4132,3995,4452,2.0%,,1.5%,,70,0.10,FALSE,1,Prior flag: No comparable sales data found for this postcode
68,"56 Downings, London",E6 6WP,Barking,Flat,Private Commuter Flat,Private commuter flat,,285000,300000,315000,DESK_REV,,0.9,0.97,,,DESK,,,,,,,,,,,,Prior flag: No valid comparables found within 1 mile radius
69,"281 Tollgate Road, London",E6 5XW,Barking,Flat,Private Commuter Flat,Private commuter flat,,211000,222000,233000,DESK_REV,,0.9,0.97,,,DESK,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode
70,"81 Lichfield Road, London",E6 3LQ,Barking,House,Standard House,Standard suburban house,,423000,446000,468000,DESK_REV,,0.85,0.95,,,DESK,,,,,,,,,,,,Subject property floor area is missing or zero. Cannot calculate £/sqm valuation.
71,"5 Temple Road, London",E6 1LU,Barking,House,Standard House,Standard suburban house,,351000,390000,428000,DESK_REV,,0.85,0.95,0.83,-17%,DESK,4822,4719,5065,0%,0%,8.0%,0%,60,0.13,FALSE,0,Subject property floor area is missing or zero. Cannot calculate £/sqm valuation.
72,"22 Seymour Road, Northfleet, Gravesend",DA11 7BN,Gravesend,House,Standard House,Standard suburban house,,256000,269000,283000,DESK_REV,,0.85,0.95,0.96,-4%,DESK,4813,4776,4902,,3.0%,3.0%,,65,0.03,FALSE,,Prior flag: No comparable sales data found for this postcode
73,"233 Old Road West, Gravesend",DA11 0LU,Gravesend,House,Standard House,Standard suburban house,,269000,283000,297000,DESK_REV,,0.85,0.95,0.87,-13%,DESK,3499,3401,3730,0%,0%,5.0%,0%,70,0.18,FALSE,0,Subject property floor area is missing or zero. Cannot calculate £/sqm valuation.
74,"72 Forest View Road, London",E12 5HU,Ilford,Flat,Private Commuter Flat,Private commuter flat,,231000,244000,256000,DESK_REV,,0.9,0.97,,,DESK,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode
75,"80 Grantham Road, London",E12 5NE,Ilford,House,Standard House,Standard suburban house,,397000,418000,438000,DESK_REV,,0.85,0.95,,,DESK,,,,,,,,,,,,Subject property floor area is missing or zero. Cannot calculate £/sqm valuation.
76,"Flat 5, St James Court, 71 Aldersbrook Road, London",E12 5DL,Ilford,Flat,Private Commuter Flat,Private commuter flat,,412000,434000,456000,DESK_REV,,0.9,0.97,0.82,-18%,DESK,5679,5434,6250,,,8.0%,,65,0.15,FALSE,1,Prior flag: No comparable sales data found for this postcode
77,"151 Forest View Road, London",E12 5HX,Ilford,Flat,Private Commuter Flat,Private commuter flat,,241000,254000,267000,225000,205827,0.9,0.97,0.81,-19%,CHECK,4935,4907,5000,2.0%,3.0%,2.5%,,65,0.06,FALSE,1,Subject property floor area is missing or zero. Cannot calculate ?/sqm valuation.
78,"483 High Street North, London",E12 6TH,Ilford,Flat,Private Commuter Flat,Private commuter flat,,276000,290000,305000,277431,261210,0.9,0.97,0.90,-10%,PASS,3444,3407,3530,,,1.5%,,70,0.04,FALSE,1,Prior flag: No comparable sales data found for this postcode
79,"75 Empress Avenue, London",E12 5SA,Ilford,House,Standard House,Standard suburban house,,469000,494000,518000,DESK_REV,,0.85,0.95,0.69,-31%,DESK,4434,4118,5174,,,8.0%,3.0%,60,0.22,FALSE,1,Prior flag: No comparable sales data found for this postcode
80,"147 Manor Road, Caddington, Luton",LU1 4HJ,Luton,House,Standard House,Standard suburban house,,383000,403000,423000,DESK_REV,,0.85,0.95,,,DESK,,,,,,,,,,,,Subject property floor area is missing or zero. Cannot calculate £/sqm valuation.
